idx,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,lat,lon,indoor,delta_1_12,delta_1_13,delta_1_23,delta_2_12,delta_2_13,delta_2_23,delta_3_12,delta_3_13,delta_3_23,dist_1,dist_2,dist_3,ang_1,ang_2,ang_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
8885,-80.2464285714286,-97.57214285714292,-80.33,-99.55,-96.4575,-93.3442857142857,-80.885,-99.9346666666667,-96.98,-8.049660000000001,-34.95462,False,17.325714285714326,0.08357142857140332,-17.242142857142923,-3.092500000000001,-6.2057142857142935,-3.1132142857142924,19.049666666666695,16.095,-2.9546666666666965,0.7481127332912662,1.1532821508824984,0.7228849572035461,-157.29160481599925,-71.95673397773861,30.010214631309218,3.0,4.0,3.0,1.0,0.0,1.0
8886,-93.8657142857143,-97.4828571428571,-92.7542857142857,-85.95,-96.0925,-97.4,-94.9433333333333,-96.742,-96.7925,-8.049660000000001,-34.95042,False,3.6171428571427953,-1.111428571428604,-4.728571428571399,10.142499999999998,11.450000000000003,1.3075000000000045,1.7986666666667048,1.8491666666667044,0.050499999999999545,0.7117569047634674,0.7273634270088266,1.0352132034847685,165.83619914351604,-60.58594951064087,52.79463469316281,3.0,3.0,4.0,0.0,1.0,1.0
8887,-97.19714285714292,-86.1,-95.84571428571432,-91.26,-92.7425,-97.3242857142857,-91.36,-95.518,-98.9125,-8.04965,-34.94757,False,-11.097142857142927,-1.351428571428599,9.745714285714328,1.4825000000000017,6.064285714285688,4.581785714285687,4.158000000000001,7.552499999999995,3.3944999999999936,0.8445104536579849,0.48004831094200157,1.2999198062271309,144.67408625672073,-41.716556508989434,61.158537388853205,3.0,2.0,5.0,1.0,2.0,3.0
8888,-87.47,-86.1,-95.84571428571432,-92.97,-92.7425,-97.3242857142857,-92.9583333333333,-95.518,-98.9125,-8.04965,-34.94746,False,-1.3700000000000045,8.375714285714324,9.745714285714328,-0.22749999999999204,4.3542857142856946,4.581785714285687,2.5596666666667005,5.954166666666694,3.3944999999999936,0.8515791907516006,0.4720664221078091,1.3105539537478164,144.0084754732121,-40.617957266169284,61.414264949950706,3.0,1.0,5.0,2.0,2.0,4.0
8889,-97.00142857142859,-85.96142857142858,-93.41714285714279,-59.39,-79.02,-89.59,-88.825,-94.342,-98.9125,-8.04965,-34.94582,False,-11.040000000000006,-3.584285714285798,7.455714285714208,19.629999999999995,30.200000000000003,10.570000000000007,5.516999999999996,10.087499999999991,4.570499999999996,0.9689211594431915,0.3800190968506368,1.4718363664236047,135.32604963983584,-19.450576622353992,64.78353889105165,4.0,1.0,6.0,3.0,2.0,5.0
8890,-87.17,-94.0842857142857,-91.01,-98.1233333333333,-97.8975,-93.0942857142857,-82.5833333333333,-102.688,-84.77,-8.04964,-34.95967,False,6.914285714285697,3.8400000000000034,-3.0742857142856934,-0.22583333333331268,-5.029047619047603,-4.80321428571429,20.104666666666702,2.186666666666696,-17.918000000000006,1.0899705314795878,1.6918441645355151,0.6577867516243361,-129.1336873026811,-77.73491316541559,-17.254178999887014,4.0,7.0,2.0,3.0,2.0,5.0
8891,-93.8657142857143,-98.34,-101.11,-81.76,-96.0925,-96.22857142857141,-94.9433333333333,-96.742,-96.7925,-8.04964,-34.95044,False,4.474285714285699,7.244285714285695,2.769999999999996,14.332499999999996,14.468571428571408,0.1360714285714124,1.7986666666667048,1.8491666666667044,0.050499999999999545,0.7090745627816565,0.7303706503212674,1.0347994748299263,165.96518787561658,-60.519737338478656,52.623278210933385,2.0,3.0,4.0,1.0,2.0,1.0
8892,-85.39,-94.0842857142857,-81.45714285714291,-100.55,-97.8975,-93.0942857142857,-82.5833333333333,-102.688,-86.08,-8.04963,-34.95971,False,8.694285714285698,-3.932857142857088,-12.627142857142786,-2.6525000000000034,-7.4557142857142935,-4.80321428571429,20.104666666666702,3.496666666666698,-16.608000000000004,1.0926987630847875,1.6963876780013594,0.6601621605124194,-128.9427916811942,-77.73005349856906,-17.59116619189923,4.0,7.0,2.0,3.0,2.0,5.0
8893,-80.2464285714286,-98.28,-80.94142857142859,-97.03,-97.7525,-90.39,-80.885,-99.9346666666667,-97.6,-8.04963,-34.95475,False,18.033571428571406,0.6949999999999932,-17.338571428571413,0.7224999999999966,-6.640000000000001,-7.362499999999997,19.049666666666695,16.71499999999999,-2.334666666666706,0.7507241134370749,1.1679356751995176,0.7187286832588888,-156.1848952200369,-72.01972896544643,28.888646501941718,3.0,4.0,3.0,1.0,0.0,1.0
8894,-97.19714285714292,-83.75,-95.41375,-93.95,-92.7425,-97.3242857142857,-90.11,-95.518,-98.9125,-8.049619999999999,-34.94757,False,-13.447142857142921,-1.7833928571429283,11.663749999999993,-1.207499999999996,3.3742857142856906,4.581785714285687,5.408000000000001,8.802499999999995,3.3944999999999936,0.8418056801866134,0.4825299968669179,1.3015236297106898,144.54350621594085,-41.45439427537968,61.030596615147694,3.0,2.0,5.0,1.0,2.0,3.0
